0,1,2,3,4,5,6,7,8,9
0.86,0.62,0.99,0.76,0.81,0.86,0.62,1.0,0.76,0.81
0.87,0.66,0.99,0.79,0.83,0.82,0.52,1.0,0.69,0.76
0.86,0.62,0.99,0.77,0.81,0.84,0.57,1.0,0.73,0.79
0.86,0.61,1.0,0.76,0.81,0.86,0.64,0.96,0.77,0.81
0.85,0.59,0.99,0.74,0.8,0.88,0.67,1.0,0.8,0.83
0.87,0.64,1.0,0.78,0.82,0.81,0.5,0.95,0.66,0.74
0.85,0.61,0.99,0.75,0.8,0.87,0.64,1.0,0.78,0.82
0.84,0.59,0.99,0.74,0.79,0.89,0.71,1.0,0.83,0.86
0.85,0.61,0.99,0.76,0.8,0.86,0.62,1.0,0.76,0.81
0.87,0.65,0.99,0.79,0.82,0.8,0.45,1.0,0.62,0.73
0.86,0.62,0.99,0.76,0.81,0.84,0.57,1.0,0.73,0.79
0.85,0.6,1.0,0.75,0.8,0.81,0.52,0.96,0.68,0.75
0.84,0.56,0.99,0.72,0.78,0.88,0.67,1.0,0.8,0.83
0.84,0.59,0.99,0.74,0.79,0.88,0.69,1.0,0.82,0.85
0.86,0.64,0.99,0.78,0.82,0.82,0.52,1.0,0.69,0.76
0.85,0.6,1.0,0.75,0.8,0.87,0.67,0.97,0.79,0.83
0.86,0.62,0.99,0.76,0.81,0.85,0.6,1.0,0.75,0.8
0.86,0.63,0.99,0.77,0.81,0.83,0.55,1.0,0.71,0.77
0.85,0.6,0.99,0.75,0.8,0.82,0.52,1.0,0.69,0.76
0.86,0.62,0.99,0.76,0.81,0.85,0.6,1.0,0.75,0.8
0.85,0.61,0.99,0.76,0.8,0.86,0.62,1.0,0.76,0.81
0.86,0.64,0.99,0.78,0.82,0.81,0.5,1.0,0.67,0.75
0.84,0.58,0.99,0.73,0.79,0.86,0.62,1.0,0.76,0.81
0.85,0.59,0.99,0.74,0.8,0.87,0.64,1.0,0.78,0.82
0.85,0.6,0.99,0.75,0.8,0.86,0.62,1.0,0.76,0.81
0.85,0.59,0.99,0.74,0.8,0.88,0.69,1.0,0.82,0.85
0.84,0.58,0.99,0.73,0.79,0.9,0.74,1.0,0.85,0.87
0.83,0.55,1.0,0.71,0.78,0.85,0.62,0.96,0.75,0.8
0.86,0.62,0.99,0.76,0.81,0.84,0.57,1.0,0.73,0.79
0.85,0.6,0.99,0.75,0.8,0.82,0.52,1.0,0.69,0.76
